"","city_origin","city_destination","origin_lat","origin_long","destin_lat","destin_long"
"2018","DRYTORTUGAS","DRYTORTUGAS",24.633333,-82.92,24.633333,-82.92
"2019","FLAMINGO","BOCAGRANDE",36.1164409,-115.1707917,26.7490152,-82.2616717
"2020","KEYWEST","DRYTORTUGAS",24.5550593,-81.7799871,24.633333,-82.92
"2021","DRYTORTUGAS","DRYTORTUGAS",24.633333,-82.92,24.633333,-82.92
"2022","FLAMINGO","BOCAGRANDE",36.1164409,-115.1707917,26.7490152,-82.2616717
"2023","KEYWEST","DRYTORTUGAS",24.5550593,-81.7799871,24.633333,-82.92
"2024","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
"2025","BLACKWATERSOUND","BOCAGRANDE",25.1741461,-80.4215246,26.7490152,-82.2616717
"2026","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2027","BOCAGRANDE","LONGBOATKEY",26.7490152,-82.2616717,27.4125417,-82.6589881
"2028","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2029","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
"2030","BLACKWATERSOUND","ANCLOTEKEYS",25.1741461,-80.4215246,28.1889802,-82.8459982
"2031","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2032","ANCLOTEKEYS","YANKEETOWN",28.1889802,-82.8459982,29.0299729,-82.7159396
"2033","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2034","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
"2035","BLACKWATERSOUND","ANCLOTEKEYS",25.1741461,-80.4215246,28.1889802,-82.8459982
"2036","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2037","ANCLOTEKEYS","YANKEETOWN",28.1889802,-82.8459982,29.0299729,-82.7159396
"2038","FLORIDACITY","JUPITERINLET",25.4478898,-80.4792237,26.9443142,-80.0723599
"2039","FLORIDACITY","DRYTORTUGAS",25.4478898,-80.4792237,24.633333,-82.92
